"","Ind_1","Ind_2","Ind_3","Ind_4","Ind_5","Ind_6","Ind_7","Ind_8","Ind_9","Ind_10","Ind_11","Ind_12","Ind_13","Ind_14","Ind_15","Ind_16","Ind_17","Ind_18","Ind_19","Ind_20","Ind_21","Ind_22","Ind_23","Ind_24","Ind_25","Ind_26","Ind_27","Ind_28","Ind_29","Ind_30","Ind_31","Ind_32","Ind_33","Ind_34","Ind_35","Ind_36","Ind_37","Ind_38","Ind_39","Ind_40","Ind_41","Ind_42","Ind_43","Ind_44","Ind_45","Ind_46","Ind_47","Ind_48","Ind_49","Ind_50","Ind_51","Ind_52","Ind_53","Ind_54","Ind_55","Ind_56","Ind_57","Ind_58","Ind_59","Ind_60","Ind_61","Ind_62","Ind_63","Ind_64","Ind_65","Ind_66","Ind_67","Ind_68","Ind_69","Ind_70","Ind_71","Ind_72","Ind_73","Ind_74","Ind_75","Ind_76","Ind_77","Ind_78","Ind_79","Ind_80","Ind_81","Ind_82","Ind_83","Ind_84","Ind_85","Ind_86","Ind_87","Ind_88","Ind_89","Ind_90","Ind_91","Ind_92","Ind_93","Ind_94","Ind_95","Ind_96","Ind_97","Ind_98","Ind_99","Ind_100","Ind_101","Ind_102","Ind_103","Ind_104","Ind_105","Ind_106","Ind_107","Ind_108","Ind_109","Ind_110","Ind_111","Ind_112","Ind_113","Ind_114","Ind_115","Ind_116","Ind_117","Ind_118","Ind_119","Ind_120","Ind_121","Ind_122","Ind_123","Ind_124","Ind_125","Ind_126","Ind_127","Ind_128","Ind_129","Ind_130","Ind_131","Ind_132","Ind_133","Ind_134","Ind_135","Ind_136","Ind_137","Ind_138","Ind_139","Ind_140","Ind_141","Ind_142","Ind_143","Ind_144","Ind_145","Ind_146","Ind_147","Ind_148","Ind_149","Ind_150"
"Gene_1",28360.8912674011,4614.37714579063,3299.13969648089,4701.88056165873,4218.82112067603,3105.36290224752,5311.6596797409,9695.0130801031,10263.0988554748,9875.44477139319,4202.18546843694,9235.62697736642,13015.9459668668,10847.9176278082,4538.61501064712,8801.13466762162,3635.46809975874,18657.1342717061,12384.9576802905,2717.89292284198,24433.8082714263,10634.6334120289,3075.7394757687,4035.3382082852,4096.37540299075,5568.80671907874,3233.54506701127,3427.07268816688,17622.9195023037,11724.8338456767,8733.54687432452,26428.3979996918,12752.8274270514,12458.7444122513,9663.85962217832,19778.4510545876,10386.2967327989,9282.38863377739,11228.7112949449,32816.6254680246,5266.73210383867,9944.74310126255,4793.31230306397,24610.6616663542,10830.0969356138,3659.94304819159,3962.25585612463,6901.1549976748,12631.6645141998,9943.44229694471,7511.49495530738,4342.5241378828,9353.35408523153,9117.61838603878,10440.3853884845,18860.4490740495,4025.12663670259,9401.13517005397,3521.04694994446,22665.9051654828,21338.8755990536,23820.6067312516,21137.3627522402,22765.0429735177,9596.48592310114,18653.1614936245,5481.78699537571,18369.3321438971,24029.4652740058,11285.0922125252,10503.5488018008,4972.15174964325,10137.1850834553,29706.1965143325,18399.4446953303,6221.02748425563,4157.05363819973,10735.9638539617,6612.98487562036,6143.88787665604,10424.5710004547,5904.48252776625,14208.7992626849,6937.72656490873,26621.0157242848,3903.13476466976,9924.88225816202,5195.3858927045,11577.8072749403,3714.26202225637,4511.15432901232,3076.8392174494,25354.4811325165,11184.68797821,4481.88685104576,3566.1244309003,9942.66960755196,4175.4631896721,4702.07035257422,3712.19550965299,3427.00783325888,10692.252801954,5336.58904539033,23111.3905009455,4548.72030203677,22709.365974129,3148.34657428034,19750.8218196933,13056.1303518294,10830.9306916783,3993.91896339485,4993.3378714405,3891.31681277567,3355.58301729329,6749.34171764014,4613.30354369619,10489.7995434726,3958.7137529178,7571.79132700582,6060.91908972376,10684.4986479916,26129.9923495765,14168.4953882269,8257.28248798152,5910.1620055012,6516.86825106145,6833.21642892543,7503.01287811062,3967.85567807834,12772.4944638516,4079.64734734291,12139.1726404622,9917.802670485,5981.40099890312,4997.6992708225,13145.4308064661,11664.4315983171,24937.1544172646,3836.95489020607,4361.2521604365,10693.8845680646,12830.5868301232,3847.96160520933,4161.74136305411,3122.54689458535,5216.75778339604,9360.91726054424,4224.33423381115,3923.37767658899,4288.83469683258
"Gene_2",17811.3127173818,4331.71432777073,3689.74764246128,6424.71254124037,2388.59444008388,3116.83677570716,4074.20916880887,9264.61586887927,10949.6579554242,8101.11372824124,4964.57184448089,9881.9740797057,29474.3753554739,7538.75723630345,4067.79411769552,10792.9080292926,5160.90475533159,37089.6071311715,10243.7466720239,5130.59749544542,21318.3129566957,8014.70300084885,5448.58247223512,4075.0026991649,4278.65607386223,3188.69687170566,4490.4961291918,2972.41481825871,21998.2345555684,9590.04962719205,13757.913763856,16151.0558430978,10465.5926323648,9966.87237425175,13679.1471776907,10952.2508983249,10776.4319072682,9803.91821557419,10095.6741597336,18631.5281122713,3440.94617601973,11097.2139191186,2686.76656024919,15204.653467605,10354.9427031691,3947.49910686594,3526.2510311964,7517.11812582189,9114.57613413788,13682.7478506369,7971.10298046692,3220.21701392201,13327.3792575326,9916.67412079236,11854.3361633958,12751.6336358428,4084.82715348802,8822.53559436451,4558.80755194494,26418.5375364782,21432.9751285786,22982.0202129908,34876.9246539205,21944.6058381192,12687.4486930394,18888.7215421188,1191.72193648551,34136.887864023,21039.9984412779,9142.75695389964,9656.56334437466,5147.79946160193,8397.76437200024,23210.9063572901,14335.6973720267,5014.86540123655,4719.1296966908,8788.38242779511,4998.12091190098,4806.15357558599,7897.00573600266,4842.08337694232,25923.361101147,8410.36762292457,24974.5140712282,4568.19963784969,10346.0587252499,4251.48588150907,8444.18473681786,2897.1073649543,3750.92208311412,3097.84248005874,30445.4530650267,8307.07295088022,4338.40699161325,3670.39161175089,8002.3344778731,2784.26183295321,2694.85488372747,3076.59951830946,4758.14824539879,10307.7777870455,3200.39532082414,17204.5443621509,4556.35822873572,16243.6572474128,4418.30482166327,32191.4766188695,11950.8750188616,8915.44027892252,4829.78922805038,3395.26532781596,2870.34492697454,3330.14510303503,9135.01456485176,3914.63953661665,9617.86829989238,2517.00642594479,7909.24178631475,6126.75744569958,14026.1296465285,19130.797316871,10987.6504170445,7271.85509751481,9595.77263395814,9514.43641227151,4688.78056256842,8112.77559755033,4009.36233111334,9783.98719007785,5357.73925228133,12245.499575059,10808.1615113903,3842.65731742413,4403.53538765749,11348.519688633,13982.081292222,21361.9031195567,3768.80393822856,3329.76414420855,5807.37899278067,10543.503025258,5171.47922908715,4921.80401764062,4145.95329189679,4703.49454062949,8110.9085570024,4200.56532462561,3321.67322333815,3215.51270225259
"Gene_3",26480.5828293457,3691.11085567117,2519.90231991067,4960.19376240891,2456.65384906461,3996.32539096976,3096.89791607824,8678.92784726714,7471.24287051655,8353.56475587631,5212.80128281426,8235.01817205542,26583.1745960046,8545.49663155845,5047.91978380192,5885.17859813828,2382.25491233232,18965.8850202233,9117.97697171747,3882.13112151327,22334.3226267918,9826.50220898751,3805.08092946992,3504.90076096596,4451.84762160782,3716.58754565288,2254.47179654776,4065.90973099464,16707.5741106326,11687.3911717241,7550.68616002161,22932.3841669507,9336.14417257062,7520.59857242453,6386.19183885946,10856.7197872814,11390.4971729286,8835.4722828101,9137.81829758078,18934.1310374982,4101.37634390654,10940.1443834467,4482.95753922884,18625.5935417588,7747.58354848621,3289.02254815364,4478.57285326383,6793.26837142311,8328.06950691619,9273.88285913977,14427.5803257842,3738.5988127306,11601.7625580478,11288.923349845,10160.916182051,19350.3783294261,2900.94806309927,8201.24012667101,5293.46388218607,23966.7881482326,24078.7319558715,25904.6406218471,23884.4694433607,13660.120713705,13511.5529494794,24302.9555996177,3025.64879111783,17036.2636770764,21059.0101222574,8170.19412509973,12253.2239770563,4815.21830350218,11037.3276519932,18586.763482147,16237.7226797747,4863.7450884398,4903.64173933442,11071.5471082141,5406.14043026808,4000.30532190067,14087.0658896694,5057.59419704959,13665.1865174161,9513.13216520599,18580.3480298616,5590.86760488335,13367.4817383075,2994.2084878974,13109.7430474101,3567.45923469924,3428.88039946701,4336.75406873641,25092.8306594279,10470.8248917472,2459.5210208941,2916.21764122578,8653.84403968065,4422.17896793415,4541.23382836405,3078.08024387489,3774.35570321015,7899.65366237345,3497.60452087028,22876.1845716293,4689.48115609154,23034.2345010706,3750.65519558856,25893.974024981,6917.92551629189,7209.60078890826,3861.10354202788,4694.30369580072,2186.14148002932,3328.39997775523,6268.82154781227,4361.11401180624,6841.42029412459,2750.84592685651,7854.73874325297,11585.2412680123,8628.59928866492,15270.6620660507,8539.31745871358,11587.7350977538,8074.91890954831,14153.3325566474,3796.24304393092,6847.85336809284,4504.33205080116,9990.44294029987,4153.6615000852,6647.82668378692,9613.51602279771,2656.57873581518,4721.84232277457,10866.5867719415,10165.4339431749,19303.3967503374,4277.95146618395,6079.49817196027,11602.5320919225,7321.62801903046,4225.14397427894,3341.66911205141,3030.61011813652,2098.38152405088,8842.29597081046,3433.76926227815,2375.38114941831,4051.3597017791
"Gene_4",23614.3002141165,3812.64053250895,2897.70704123308,2537.21150439358,3153.87124464564,4194.6799920467,3999.56816374517,7426.31097832099,9893.58286119617,11853.3205776279,3801.1996706732,8343.79472842565,16384.202150142,13508.394625641,3607.33645287151,11469.3287299106,2706.08156630378,18871.6948708626,9081.97575565649,4118.10820814093,16224.8168699209,10970.107135941,4873.08107854042,3840.9129223898,3470.60961233455,3250.74233599047,2724.24240622609,2700.02394407095,17872.8427293546,11139.1532940805,10829.9652576504,21617.6825288532,8570.50939145686,11951.8988813391,9059.8758127323,21644.924600672,10133.7902990221,10215.6564460679,11691.4524514424,17450.087342645,2080.53563115973,8171.76618849585,2823.78927466881,16317.5704985756,11502.3883841507,4007.44812997098,3457.40220705165,8620.23287872711,11220.0414146456,8373.6853326875,9340.74390950032,3523.21344970156,9670.89292221007,7515.68188016473,10699.460728597,18572.8613691795,3450.56465080014,11174.1768587231,4575.80378870376,18349.2788097811,22971.1560060803,21670.8371305738,25104.8361222762,20746.4229324406,8927.89621413963,25556.6859851398,3121.01906002037,25727.4485597789,24230.3029337343,10083.1000156378,8365.64145115494,3449.60015172907,11546.9970835382,19153.7871719683,23415.8088898655,5740.37359709838,3078.83613937148,11473.3908325052,4307.52038462003,4063.13435811907,10108.4252346483,3539.06440457125,17943.6310830644,10663.1824245214,11148.2948412768,3049.73310999139,9572.22741546061,4544.81700402625,11302.3736390485,4744.07396302433,3757.10506305963,3516.01160327964,14542.1205961325,10879.3847397576,3145.8956588509,3730.92277021123,14843.7149557973,4848.47053068796,5122.4341941156,4402.36608623218,3427.09712561732,8398.90901516305,4106.20941678565,24818.1594038849,5573.07421519186,29509.2638963576,2575.93121952003,25363.7087168985,7926.85641208517,12764.2801269476,3358.09250527736,5470.9279402917,4649.22184435445,3068.16091426719,12436.224942242,3289.34241059021,6856.6928099403,3833.89462482504,5784.8290828934,8557.68136074271,9302.82337191265,14088.9862113468,12676.2980538408,6188.56491608447,10904.6134616888,8705.07270527403,3375.70112839693,8707.13719950726,3848.51216262528,8480.51226971118,4481.66748576576,11123.1755314795,7589.28327443203,4300.17460818917,5805.57155709715,12021.7475815227,9231.28075706742,19954.3217530817,4291.4266387389,2691.38541585785,11696.2843691863,8953.05204236194,3807.84545196613,5227.26601442253,3915.24631868959,4357.26894203753,5606.33924934086,2544.02776918945,3550.59742982916,3951.88123798415
"Gene_5",19361.874188193,3904.08965280115,3982.78343928785,3260.85077162768,3370.33958148794,4414.73393824513,4472.9225713099,10937.381204564,10608.7634274108,8174.72283222549,4577.3909831539,9509.82418542927,17388.6582784792,12673.1483333924,2903.49763478089,9485.22967984126,2852.3729002852,12519.0724394713,12373.3331960426,3370.26428411625,18628.2892990529,8464.51056763909,4290.84042411219,3417.92310977161,4044.15173415827,4137.47530852587,3755.57029052016,2570.76830274672,21953.4923164427,11146.7762302009,8312.31795200864,18633.8761254416,7827.81293222345,9680.87030734712,12116.8591719524,16492.1228682078,8505.65759678429,9597.75407744127,8037.47760337031,17802.0030031979,3637.65062891485,9340.43067334043,3258.02250480085,24426.5270602439,9292.62223018608,3445.03142123386,4676.57605229192,11796.1453552474,10326.0707709226,9861.83354737843,9334.12254327227,3325.35928019277,10176.774109554,9774.65597173871,7566.10863826666,15903.8135366406,2044.22462210206,10424.867602996,5522.04407426348,15735.829328194,20007.2322724444,22180.2204713579,15771.3737114925,15555.727058349,8859.40346261849,31209.6577404626,3819.16540493521,17571.1182161686,19920.489448731,7108.55379709338,10828.4251158113,6458.39260820679,8207.19614301666,11051.529016453,18682.6307740213,5208.91254429648,4286.04774469157,5961.13805801258,3066.36887855352,4437.6124726406,11692.7669022154,4976.89783715862,23664.4608461611,5892.36154441174,21418.6061876314,5585.5881045505,7354.40887654182,1991.70538233032,12468.8522904935,4490.72580191085,3104.94447668341,2875.72065652231,14371.8802941293,10439.5275390692,3817.01556061345,4578.83790053666,7150.85025742531,3365.79559253024,4389.54111888207,3904.81746827787,3941.40738773868,8060.59693806076,4401.04526286216,21771.7317645891,3930.54658920831,24085.3311612779,3358.78320081374,19898.4376186402,8933.7722395564,10057.62794158,3670.78271669092,2543.39662978066,2178.34012983738,3217.21410596042,12516.4773311172,3195.86025590822,9855.90034179767,3552.87777696351,10225.319216598,12703.5946778618,10329.0951050956,18729.8071302459,10504.0679092882,10129.2582216521,6474.67482895944,10346.1138146421,3915.8140164544,12265.4013002671,3221.37393593048,8244.93207116307,3520.26202545792,9238.97652997839,10635.0191928778,2375.17529995459,3376.85119876809,8504.33386276527,10772.8334682041,16385.3257693105,4098.08267113888,4219.8911097467,6414.47815822779,11032.8532910402,5332.98758384988,3291.03282740424,3002.92027748915,3017.13092572888,8646.34544351738,2831.4000115703,4150.32638022761,3647.88730265996
"Gene_6",28042.7223515354,3888.44950047333,4229.93196806,5838.39999203477,3397.29781478802,4135.61953429217,5376.81394996059,7819.62944611966,8311.00956839328,8682.3090189635,3447.02441299793,7820.51640880768,25421.4041841457,8648.49072321964,4182.73839747301,9700.18743884495,3276.52041623804,15226.0584856527,13209.6344383437,2466.518285618,12075.4257082988,9861.93412855122,3259.08617147231,3808.94976725223,2756.96825442196,3530.67398853422,3198.92711576137,3800.16743292575,22894.1810469974,9080.12003099187,9686.14815547923,18219.7331419813,10721.8766951406,13800.6269696997,13149.9622315137,25233.7489728423,10044.1280099885,11237.702308469,10671.4816603641,22598.7497796461,3274.90045990526,8530.44283806958,3140.3335684528,21491.2464389812,7964.21763775417,2080.76825577313,3623.4213520793,9676.11830714101,7524.13870351313,7624.44825178246,11873.8841543391,3034.20997503989,10067.6875772005,7364.4724118266,12551.2642972353,23054.8859403766,2998.64651107509,8090.57503709422,4943.7295434315,17059.2418595568,21666.0857857302,14197.8380407563,20192.4460069509,20848.1700801802,10011.9309295658,19725.3259984683,2775.68506674769,14090.0155945628,15734.2178557865,8806.61337556081,11708.9882929568,5127.77245769991,9255.85596778631,26409.6173483605,20688.5244114553,5191.35192631843,4203.929366249,8120.86559559627,5812.30952127205,6014.69193701421,7679.12154860337,3890.83017345945,14956.1763393213,8738.96670085901,28173.0956143611,2376.39880337371,14935.1658418959,3117.91146723666,12147.1340204888,5689.42304419211,3686.72225037374,3121.58272041041,19580.9396175015,7790.112780784,3300.04339979319,2597.12899200729,7403.69630679793,2766.76602994773,4774.6570593128,3611.10967394625,2846.99144292042,9076.39750183638,2789.39645132557,31046.9718243632,4948.40496172967,21007.4111300101,4400.63835172594,29344.0131940366,10532.7341481227,11026.0772302156,4129.25050041048,4108.40249254438,3779.86438053261,3068.47936548445,10649.2455932118,2600.45163869236,6967.39812465119,4299.55340095881,9191.76667170691,10606.9852070402,9018.70679543191,17111.2400859543,14528.5529004679,10365.663801732,11146.1031133124,9776.91386911631,2387.47112029916,6066.71169405858,3130.01173910666,10407.3365187762,4101.40654214704,7539.02519966311,7123.14405921052,4342.074401497,4500.9991498698,6723.10371105105,10377.3014739323,17036.217290689,3299.03426616913,5274.38969661109,7201.52449474244,12608.3090934849,4257.78887644935,4033.72791447904,3709.69769464645,3650.41634498168,9245.03823015034,2964.42055104399,4075.58300390947,3019.19556605622
"Gene_7",17121.7591905373,3002.55747490209,2898.09908194188,3317.76071540263,3552.62333288853,2501.43520081229,4052.22937458199,6414.08021974732,7837.68610365513,11105.7994530982,6150.84447960548,7654.88075685802,24493.9575242861,9390.64718980149,3558.03891816325,7624.9944577666,2946.90375019925,18825.8174179044,9019.43100809585,3107.73911837725,18987.8598811097,11641.3300731938,4808.3469315769,3440.98279279478,2925.62837200736,4436.48551053497,3750.38196719333,2394.17535430972,28786.418296628,8609.17986036029,9679.75939869014,18478.9493559553,8814.96091038053,9541.21891454437,8022.88824101407,17274.1854867446,10106.4919277621,10173.4222318405,9270.4311820569,9998.77958191808,2932.41167140469,6838.18903886156,4105.12106725903,20677.6309637353,6917.81630515427,4647.80339360148,3079.8148397014,7728.60660152336,8675.44956847313,8846.0906002237,11983.5795004358,2486.42691395511,9061.27673539847,9158.30174861485,11664.3111847329,21704.9817754254,3799.96090388914,10995.1105236429,4696.48728831469,21490.6905602657,26383.264979843,20532.6719935471,23332.4885580072,20149.8776894458,11130.1009529453,15354.699369002,4704.60958703401,18122.1095274868,18180.8381249159,7354.75962740173,9023.53655795279,4648.16975426585,9825.86384403937,21598.3890523593,17181.5860365722,4489.7001477326,4461.067360047,9114.03002504836,5112.17075352215,4792.84971871176,7357.48297787439,3189.4508439396,20823.2585833786,5807.34490273146,19074.3457673882,5012.46393797252,12332.1407547378,4209.93089343516,9570.27694791013,4216.94556712152,3301.86940960145,3316.582953923,22041.2006655607,8745.92939838913,4350.70232738907,1401.80851611905,9869.3733323967,3452.50395691424,3732.49321589796,3362.019567331,3320.79440253233,7189.53978290063,3946.33368552474,21756.4329290642,3583.84812838788,18405.527898367,3097.0480969,22835.0722869654,11634.8348514909,11818.5871365833,3446.45294068857,5761.32178615158,3789.59700507081,4252.31946879684,11766.6429627651,4687.44427343263,9003.60453216749,4951.99711752881,7233.37150968933,11568.9206819048,9100.47392288793,20531.8837234885,8677.36632489999,9336.98892992603,11282.71866401,8592.59140619157,3563.44784583419,8810.25496112105,4061.43389063301,8352.84533562523,4034.00440825955,9094.53067374134,9570.80188214038,3226.65646229495,6082.73077935884,8921.20921903574,10533.5348287929,16030.397790273,5836.64303590874,3746.7521631499,6340.91802501618,11713.1685836847,3477.05505221573,5367.9651073358,2483.40070234851,3821.81678359101,7268.67926597538,2625.37432118899,2964.09620884272,3534.68642287763
"Gene_8",22662.5555999478,3049.20145315039,3880.96214570246,4649.50252998412,3534.98491227929,5906.31757154809,2398.3796843737,12084.3903624233,11895.8268137428,7944.5974445388,5075.08287162134,8137.4824923694,20001.0062033496,13275.9917963181,4528.25167790071,6578.04885898627,3923.09057310187,32367.1462573375,13783.9981676261,3393.87609607872,32884.3363983855,6632.95266659685,6558.68788930845,3840.07757841204,4533.42549917412,2923.47488530649,3118.56397344965,5695.28214090872,24391.3719206714,5005.87605097725,13220.639647002,20721.7039517798,13137.7239412742,9846.78871309094,12214.3326199627,28867.4043988015,9329.6500150595,8056.07502720437,11384.3774163576,21291.2674131508,3212.69650977174,11455.1336828102,5041.74120670756,24579.5647883878,11126.8387022358,3811.88043309508,2900.50842979991,9896.34433701925,5193.9189850664,10922.5475446964,8922.67526468774,5052.11962404118,14898.5270885751,10515.576816609,9533.45596996651,21083.9749098494,2936.07632121179,10112.964685836,4235.91110349747,17221.5422205937,22296.0152458081,21687.6372884434,21740.5733988504,20869.7928825528,8637.32965981118,28309.8869226023,3584.38191996776,26240.020195392,14762.4962089427,10754.6675052037,10515.7493687589,5478.62658299289,9426.99296954827,20558.8635866003,20646.1762638692,3702.16798824693,2665.59962403009,10870.5962731995,6840.91741772734,4753.83238509951,7978.05332257739,3185.4002240188,20696.3978981883,13622.0326741443,19951.281641448,4869.64733962928,14113.1780414728,4061.83289488686,10025.5979605565,4017.75182414274,3524.38681097314,4465.49835356057,22328.3189683224,9888.14265790393,2608.06309982666,4793.57510924801,7226.41379342911,4399.71389568186,5210.6574580973,3761.63211169408,4403.38026302308,11260.3506518292,4272.93496470156,24469.8614721909,4266.38035619704,24016.040915702,4742.84947434993,16020.1958927286,11652.2117811663,9197.65854887649,3429.63775176473,5269.21269979348,2843.14922215398,4777.60387695283,9964.42269800548,3185.85580588827,10710.7653397411,3178.01779279995,12046.8853364836,14424.3816000574,8613.44384524807,33371.6608821349,12453.5678000909,8275.48442065626,11611.221420365,11263.9717343396,5709.73174319112,10980.4254326922,3737.93493208129,14452.98735261,4147.09666399808,12427.0236805732,14516.0310848242,3830.98796096374,4402.20286655543,9445.92164463939,10576.8166591351,22854.3127518823,4232.81305501891,5324.12100417825,10189.8749726218,12286.9380163963,4643.23086800841,3280.89814092711,4833.97517913601,4886.96442191802,11039.4459946365,4542.50150063509,4128.93965442841,3890.48504008495
"Gene_9",29651.7420684061,4051.36726548914,4264.12213196172,6239.78005731968,4332.2642316725,3825.289077125,4603.44969727979,6497.30746747232,12020.1274413944,11295.8377051565,3736.7441951643,10573.8065698728,20459.9261564614,12414.1697018532,3944.29581818114,6021.60188032684,4326.48396260006,19634.4752123856,12849.2227594061,4418.78237105816,23312.0356869536,11726.9995268247,4517.50185984907,3152.3700681232,2910.36408084575,3425.11741774786,4039.59618625432,2674.78656159319,25326.7096017541,10826.0716382895,10556.7247913214,25209.4420681606,7224.58474486377,7428.83616301019,12893.0172290916,17411.4492941965,10344.0799509933,9979.28373360947,9950.14569229295,18308.6761162367,3513.50369321284,7500.76186558211,2393.8919046067,18007.7514972292,8588.61910303875,4145.8531519249,3370.95878773566,11947.9527021564,11287.4816667069,9934.96363188179,10054.9567800461,4047.40471731686,11130.3456744743,9917.46770828204,12021.0603809754,21581.36782934,4007.57968796001,13288.4175896943,4505.18139772912,26566.5350540657,20741.5744487578,16615.0100755485,13898.0433535378,23529.3478888247,10489.5534164374,24714.3394876597,4849.24175496131,20007.6793263415,21831.6212561962,8785.11755605957,13419.1059067093,5351.13658613227,9730.43498357597,27712.4992819371,19110.2199975955,5057.95182401611,4035.98765288007,9609.30634978208,4603.31803821864,3452.65845915572,11321.4304338544,5557.95629587415,19218.9758490267,9360.81118021737,23509.4560944189,4673.01691371638,8859.47237838405,6007.55027061058,9704.19203254967,5551.0233882592,3275.28503850732,3638.63226319828,18892.9260334016,11521.3021024915,3933.24767223015,5467.36009699767,7436.45985837448,4235.61119771984,4008.81896170427,2895.02226421371,3601.04784836628,10828.3110411105,4807.12105873636,18174.8932488733,5534.26185604705,29471.7517488015,4285.27401339037,19932.9876969366,7452.07305855059,11281.4778480186,2676.14744080788,5255.30721708066,3923.0285443998,4504.59254782091,11912.7844821753,3890.9950406854,11362.2521506806,2560.06087760449,10404.3042635329,6915.35395054042,6514.90415157865,19721.5221997181,9984.73702584307,12814.4511823516,14195.3310851004,8703.97996524642,4521.99571669241,10052.5202186317,5915.94062638654,11981.907516883,5420.80191371586,12181.1668767535,9555.35312205164,5529.29503571569,4677.25499360087,11647.1634178374,13720.797697124,27305.6372967592,3394.88345483664,5335.2640629648,9566.21295322184,13618.9554881224,4827.31153312313,2929.46160612108,3756.85779000285,4647.09484536156,12308.9280326433,3325.86496150903,2948.33952786667,3981.94418854436
"Gene_10",22762.7765976341,4023.08691281942,3781.01209003038,5518.24865416634,4072.81725044306,3141.77397562004,5352.36921642725,10564.878313539,9607.53693001585,18321.8581581546,4359.94790393327,10562.2332051282,28120.1647434361,14126.0186597493,3028.28135000977,8021.99292343209,4216.61292252181,16877.1975951893,10497.1429480297,5300.0648728811,16637.5812049696,9410.29516773624,5034.01729315813,4635.90899223085,3638.74292511829,3816.21807617394,4719.62458163461,2710.28172969945,30906.1700586005,7064.96013165739,11533.3313371563,18457.7738972505,13517.9967849699,9681.8894256294,10346.2314810304,19451.7628158793,6710.00280009562,6215.75520639102,17686.2532367145,20101.4293766692,4471.03938150308,9454.21629732804,3770.49550636842,20915.7954146113,5420.09885061619,5006.15546473724,4376.97311616461,10500.9100996469,9071.57544086044,11177.1274840036,7424.49979086852,4424.54432750125,10682.4928025475,10548.3109103905,8049.50431146562,33100.0231452681,3756.26951575483,9880.31209184049,5439.91454505404,25333.1393794153,12902.1429815352,29091.2287024051,26775.0378261779,17757.6604548782,7188.27090557166,31064.7941236046,2831.03190147218,30994.0411546845,25694.1612110004,8093.30645821415,14157.3726908208,5797.31015434877,8573.61807203002,22948.3748949371,23034.9301575893,4415.9537885344,5344.09722790438,11427.5692004683,4940.17004453665,4200.73537685308,12320.6308496294,3482.54773404341,18608.8887185865,10409.8705062714,17061.4581779569,4447.3025834062,8775.61795687164,3206.64495892985,10611.4616938699,5272.7018446441,4896.67367074647,4383.93846334002,28364.9019646576,13231.9271584382,4331.43086439457,3763.3807979685,7712.96698253666,4031.37966848235,4751.27097374408,4554.3302276077,3605.75918225368,7234.43654196094,4592.53000974064,18427.4540454521,3806.74652014371,20404.2433456375,3496.71325569695,28931.481011023,10859.2842284054,13995.9305473403,3345.37014970482,4562.95238139918,3530.37155885977,3121.13580265247,13560.0560179764,4386.71955488786,11590.5986009091,4853.98784130585,7872.34007297711,6040.52920705151,8308.99811589702,24882.3409430181,10148.885481306,8404.00656757424,7708.47326892866,7783.89045430404,6201.05026186179,5138.53111379559,4368.78847035864,8597.47999369261,5488.14156582488,8899.59591924665,9347.78909437051,3780.60615547437,3550.38976360739,10254.8621874284,10429.0674252663,23039.8678714858,5220.93074314789,5593.84111067779,10257.4950088264,6919.30366251262,3864.2133704086,3636.29747544682,5112.96222069094,5969.41720762998,15605.7662795637,3194.86298931687,2873.75130880725,2956.37607512816
